userName,content
RIDHO BUKHORI,"kebanyakan kurir bermasalah, paket tidak dikirim ke lokasi yang sudah tertera di alamat. malahan ditaruh di tempat yang tidak tau lokasinya. dan kurir nya tidak pernah konfirmasi."
Robert Sumigar,"Awal pertama menggunakan jasa Pos Aja saya sdh kecewa😔 dan trjadi lagi d hal yg sama pd saat sya mncobanya kembali di ke 2X-nya😢.,saya brjanji tdk akan menggunakannya lgi jasa Pos Aja ini sampai kapanpun😡, krn ""Pos Aja"" tdk profesional dlm mengerjakan tugas2nya sbgmna xg d harapkan.🤬"
Ayu Laras,"pengalaman tidak menyenangkan pos mengecewakan pelayanan lambat sekali sekelas pos tidak tau alamat padahal sering kirim paket via pengiriman lain di alamat yang sama sampai, pos ga sampai-sampai"
Maulida Mentari,"ga bisa chat cs aneh,, mau mau tanya paket saya kok belum sampai jadi susah nyesel pake pos lelet banget"
Ani Prastio,"paket gw belum nyampe nih eatimasi hari ini ,mau liat bukti di terima aja muter"" doank, pdhl kuota gw banyak njir masih 80 gb,"
Indra Lesmana,"Baru pertama pakai aplikasi ini resi gak gak bisa di lacak dari apk nya, Harus di lacak lewat web, intinya Buat reselleer Jangan dowload apk ini"
dwifajar Septian,"Gimana ini kantor pos GK ngabantu banget kiriman saya di batalin uangnya belum di balikin,,Tolong dong admin posaja bantu saya kalo bisa ngabantu,Saya chatt csnya malah jadi off GK tau di blokir wa saya nya,, dari awal februari sampe sekarang duit gua kagak balik"
Teguh Purwanto,"Akhir akhir ini banyak kurir bermasalah. COD tidak kunjung disetorkan, Alamat sudah tertera jelas namun tidak kunjung diantar, dll CS harus bisa lebih tegas supaya pos tetap berkembang"
zhaa __,"BUMN kok sering lola ini apk , ga enak bgt buat jualan onlime sprti saya , pas banyak yg nanya ongkir lemot bahkan ga bisa dibuka"
Rizal NurHuda,"Kasih bintang 3 dulu, soalnya paket masih blm sampe udh hampir seminggu, pdhl pilih pengiriman express. paket udh sempet dikirim, cuma pengiriman pertama ""Alamat blm ditemukan"" dan pengiriman kedua alasannya ""Rumah Kosong"". Padahal rumah selalu ada orang, dan kalaupun kosong kan bisa titip ke tetangga. Dan sama sekali ga ada chat, padahal nmr saya jelas dan ada wa nya"
luffy morley,"verifikasi kode ga valid, la maksudnya gimana bujang? yg kasi kode kan sistem lu. gue cuman masukin. tapi ga valid. terus pake kode apa? kode togel?"
Encun Sunardi,"kurir 2 kali gagal antar karena alamat tidak ditemukan,yang kedua melebihi jam operasional...Tolong untuk kurirnya.sebelum berangkat susun dulu yg rapih peralamat biar enak ngirimnya."
Ramdhani Prastyo Adhi,"ini gimana sih paket lama banget sampainya? dijanjiin besok sampai, eeh 4 hari baru datang. mana susah di tracking paketnya karna aplikasinya masih sering error."
Apem Basin,"Aplikasi yang tidak pro dengan masyarakat Indonesia, di masyarakat masih banyak yang pakai HP android 9 bahkan android 8, tapi aplikasi ini mengharuskan menggunakan android 10 ke atas wkwkwkwk"
Rahmat channel,lah aplikasi TOL** mau masuk nunggu kode verifikasi sudah ada kodenya selalu invalid code terus. terus aja sampe kiamat begitu. aneh dasar aplikasi BUMN gada yg bener
sang anel,"pengiriman harus sesuai jadwal.. pengiriman 3 hari, ditunggu 10 hari belum datang... harus profesional lagi... kasian yang menunggu berkas penting"
S A R,"biaya kirim di aplikasi sama loket kok gak sama ya, aq liat di aplikasi harga 22.000 tpi kenapa kok di loket kantor posnya bisa kena 26.000"
